,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
24,Ruby Rosi Hotel Munich,8.2,"Ludwigsvorstadt, Munich",Very Good ,759 reviews,Price 572 zł,1.1 km from center,Nest,4,,
25,Eurostars Book Hotel,7.9,"Ludwigsvorstadt, Munich",Good ,"2,326 reviews",Price 572 zł,1.3 km from center,Double Room,4,,
26,Wyndham Garden Munich Messe,8.1,"Trudering - Riem, Munich",Very Good ,"4,760 reviews",Price 347 zł,6.6 km from center,Standard Twin Room - Non-Smoking,4,,
27,Hotel-Pension am Siegestor,8.6,"Maxvorstadt, Munich",Excellent ,187 reviews,Price 432 zł,1.7 km from center,Single Room with Shared Shower and Toilet,0,Breakfast included,Location 9.6
28,Gästehaus der Katholischen Akademie in Bayern,8.9,"Schwabing-Freimann, Munich",Excellent ,733 reviews,Price 418 zł,2.8 km from center,Single Room with Shower - Kardinal Wendel House,0,Breakfast included,Location 9.7
29,Eurostars Grand Central,8.2,"Maxvorstadt, Munich",Very Good ,"2,710 reviews",Price 619 zł,2.3 km from center,Double or Twin Room,4,,
30,25hours Hotel The Royal Bavarian,8.5,"Ludwigsvorstadt, Munich",Very Good ,"1,875 reviews",Price 634 zł,1.1 km from center,Medium,4,,
31,Motel One München-Campus,8.5,"Obergiesing - Fasangarten, Munich",Very Good ,"4,037 reviews",Price 371 zł,3.2 km from center,Room with King Size bed,3,,
32,Hotel Seibel,7.2,"Schwanthalerhöhe, Munich",Good ,"1,871 reviews",Price 352 zł,2.1 km from center,Standard Single Room,3,,
33,Steigenberger Hotel München,8.3,"Schwabing-Freimann, Munich",Very Good ,"1,869 reviews",Price 563 zł,4.3 km from center,Superior Double or Twin Room,4,,
34,Hotel Ambiente Garni,8.3,"Ludwigsvorstadt, Munich",Very Good ,"1,357 reviews",Price 465 zł,1.1 km from center,Single Room,3,Breakfast included,
35,ibis budget Muenchen City Olympiapark,7.2,"Milbertshofen - Am Hart, Munich",Good ,"3,315 reviews",Price 287 zł,6.1 km from center,Twin Room,1,,
36,NH München City Süd,7.1,"Ramersdorf - Perlach, Munich",Good ,"2,980 reviews",Price 259 zł,4.3 km from center,Standard Double or Twin Room,3,,
37,Hotel Schlicker,8.5,"Altstadt - Lehel, Munich",Very Good ,"1,180 reviews",Price 577 zł,250 m from center,Single Room with Air Conditioning,3,Breakfast included,Location 9.8
38,Mercure Hotel München Altstadt,8.3,"Altstadt - Lehel, Munich",Very Good ,"2,392 reviews",Price 798 zł,350 m from center,Standard Single Room,3,Breakfast included,Location 9.7
39,Novotel München City,8.2,"Au-Haidhausen, Munich",Very Good ,"4,912 reviews",Price 495 zł,1.3 km from center,Classic Business Double Room,4,,
40,Drei Loewen,8.0,"Ludwigsvorstadt, Munich",Very Good ,"3,377 reviews",Price 469 zł,1.1 km from center,Standard Single Room,4,,
41,Hotel Mirabell by Maier Privathotels,8.3,"Ludwigsvorstadt, Munich",Very Good ,"1,673 reviews",Price 493 zł,1.3 km from center,Superior Room,3,,
