,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
98,MINT BOUTIQUE STUDIO APARTMENTs II,9.7,"Lower Town, Zagreb",Exceptional ,309 reviews,Original price 513 zł. Current price 383 zł.,1 km from center,Deluxe Studio,4,,Location 9.7
99,Rooms Eliza,7.8,"Lower Town, Zagreb",Good ,240 reviews,Original price 188 zł. Current price 175 zł.,1.3 km from center,Quadruple Room with Private External Bathroom,2,,
100,Tia Apartments and Rooms,8.2,"Lower Town, Zagreb",Very Good ,394 reviews,Price 305 zł,0.9 km from center,Standard Twin Room,4,,Location 9.3
101,Apartman Grand,9.1,Zagreb,Wonderful ,171 reviews,Original price 244 zł. Current price 228 zł.,2.7 km from center,One-Bedroom Apartment,3,,
102,City Center Main Square Apartments Zagreb,9.6,"Lower Town, Zagreb",Exceptional ,341 reviews,Original price 338 zł. Current price 316 zł.,500 m from center,Studio with Balcony,4,,Location 9.7
103,"APARTMENT "" Studio Green """,8.8,Zagreb,Excellent ,151 reviews,Original price 177 zł. Current price 166 zł.,2.4 km from center,One-Bedroom Apartment,3,,
104,Four Roses,8.8,"Novi Zagreb, Zagreb",Excellent ,150 reviews,Price 220 zł,5.2 km from center,Deluxe Double Room with Shower,3,,
105,Main Square Modern Apartments,9.4,"Lower Town, Zagreb",Wonderful ,473 reviews,Original price 258 zł. Current price 241 zł.,300 m from center,Studio Apartment,4,,Location 9.8
106,Zagreb Spin&Fly,9.3,"Lower Town, Zagreb",Wonderful ,645 reviews,Price 357 zł,0.6 km from center,Studio Apartment,4,,Location 9.6
107,Dobar san,8.1,Zagreb,Very Good ,74 reviews,Original price 141 zł. Current price 132 zł.,4.9 km from center,Apartment - Ground Floor,3,,
108,Peace near the city center,9.5,"Upper Town – Medvescak, Zagreb",Exceptional ,16 reviews,Original price 228 zł. Current price 213 zł.,1.6 km from center,One-Bedroom Apartment,3,,
109,St. Marks Apartment 2,8.6,"Upper Town – Medvescak, Zagreb",Excellent ,108 reviews,Original price 235 zł. Current price 219 zł.,0.5 km from center,Studio Apartment,4,,Location 9.4
110,Elenas Rooms & Apartment,9.4,"Lower Town, Zagreb",Wonderful ,883 reviews,Price 375 zł,350 m from center,Deluxe Double Room,4,,Location 9.8
111,LOOX serviced apartments Hatzova,9.3,"Lower Town, Zagreb",Wonderful ,443 reviews,Price 328 zł,0.7 km from center,Studio Apartment,3,,Location 9.7
