,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
206,"Nature Cosy Private House,w/AC Downtown near Metro",,"União de Freguesias do Centro, Porto",,,Price 380 zł,1.4 km from center,One-Bedroom Apartment,0,,
207,Pedra Iberica,8.5,"Bonfim, Porto",Very Good ,"1,294 reviews",Price 188 zł,0.9 km from center,Double Room,3,,
208,Apartamento luminoso na Rua de Santa Catarina,,"Bonfim, Porto",,,Price 479 zł,0.8 km from center,One-Bedroom Apartment,0,,
209,Apartamentos The Arc Carrís,9.2,"União de Freguesias do Centro, Porto",Wonderful ,"1,110 reviews",Price 408 zł,0.9 km from center,Apartment (2 Adults),4,,Location 9.8
210,AL-Pinheiro 62,6.6,"União de Freguesias do Centro, Porto",Review score ,146 reviews,Price 105 zł,300 m from center,Double Room with Shared Bathroom,0,,
211,Descobertas Boutique Hotel Porto,8.7,"União de Freguesias do Centro, Porto",Excellent ,677 reviews,Price 548 zł,1 km from center,Classic Double Room,4,Breakfast included,Location 9.7
212,ibis Porto Centro Mercado Bolhao,7.9,"União de Freguesias do Centro, Porto",Good ,"1,042 reviews",Price 314 zł,350 m from center,Standard Double Room,3,,
213,Oporto City View- Trindade luxury,9.0,"União de Freguesias do Centro, Porto",Wonderful ,271 reviews,Price 385 zł,150 m from center,Studio Apartment,4,,Location 9.6
214,Na Travessa Suítes,9.6,"União de Freguesias do Centro, Porto",Exceptional ,356 reviews,Price 469 zł,0.6 km from center,Standard Double Room,4,Breakfast included,Location 9.3
215,Canvas Atelier Hostel,8.1,"Bonfim, Porto",Very Good ,495 reviews,Original price 124 zł. Current price 107 zł.,1 km from center,Single Bed in Mixed Dormitory Room,0,,
216,MyStay Porto Bolhão - Pool & Garden,8.4,"União de Freguesias do Centro, Porto",Very Good ,827 reviews,Price 371 zł,0.5 km from center,Studio,4,,
